"listed_in","type","Count"
"Kids' TV","TV Show","220"
"International TV Shows, TV Dramas","TV Show","121"
"Crime TV Shows, International TV Shows, TV Dramas","TV Show","110"
"Kids' TV, TV Comedies","TV Show","99"
"Reality TV","TV Show","95"
"International TV Shows, Romantic TV Shows, TV Comedies","TV Show","94"
"International TV Shows, Romantic TV Shows, TV Dramas","TV Show","90"
"Anime Series, International TV Shows","TV Show","88"
"Docuseries","TV Show","85"
"TV Comedies","TV Show","69"
